Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
   192/20    0.000    0.000    0.415    0.021 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      605    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      207    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      605    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      398    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    309/3    0.001    0.000    0.902    0.301 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1764    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      315    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
      393    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      196    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  196/190    0.000    0.000    0.640    0.003 <frozen importlib._bootstrap>:549(module_from_spec)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    196/3    0.001    0.000    0.905    0.302 <frozen importlib._bootstrap>:650(_load_unlocked)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      605    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      580    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      580    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      202    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    207/3    0.001    0.000    0.906    0.302 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    207/3    0.002    0.000    0.906    0.302 <frozen importlib._bootstrap>:986(_find_and_load)
      132    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
    51/48    0.000    0.000    0.634    0.013 <frozen importlib._bootstrap_external>:1099(create_module)
    51/46    0.000    0.000    0.063    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      391    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      189    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      189    0.000    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      183    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      342    0.003    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       16    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      264    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      342    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      183    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      132    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     1530    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      183    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     1530    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      264    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    132/3    0.000    0.000    0.905    0.302 <frozen importlib._bootstrap_external>:777(exec_module)
      721    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      132    0.002    0.000    0.074    0.001 <frozen importlib._bootstrap_external>:849(get_code)
      231    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      132    0.004    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      215    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       16    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      572    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.014    0.014 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:492(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       15    0.001    0.000    0.827    0.055 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:152(WorkerQueue)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:209(c_longlong)
        1    0.000    0.000    0.886    0.886 __init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:210(FuncResult)
        1    0.000    0.000    0.000    0.000 __init__.py:211(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:213(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:236(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:248(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:253(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:258(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        9    0.001    0.000    0.001    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        3    0.000    0.000    0.083    0.028 __init__.py:339(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:367(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:383(__getattr__)
       49    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:396(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:405(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:414(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:427(OleDLL)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:436(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:437(__init__)
